,Outdegree
icui,156
cor,115
zbh,97
jnj,95
fms,92
syk,86
bax,79
lh,75
ste,72
msa,70
unh,68
dgx,66
ci,64
uhs,60
crl,60
mrk,59
bsgm,57
rlmd,57
iqv,55
ocgn,45
teva,45
crvs,43
rmd,43
plx,41
adap,41
envb,39
lrmr,39
dbvt,39
ird,38
mdt,36
xray,36
ilmn,36
nnvc,36
aldx,35
xtnt,34
hca,34
tfx,32
isrg,31
rdy,30
mbot,30
prqr,28
algn,28
abt,27
cah,27
capr,27
alny,27
ofix,26
crbp,26
md,25
zvra,25
hum,24
smmt,24
iclr,24
xtlb,24
clls,24
oncy,23
ctmx,23
lsta,23
nerv,23
cocp,23
jazz,22
rdhl,21
tcrt,21
pahc,20
sngx,20
vani,20
naov,20
xbit,19
cris,19
atos,18
advm,18
ew,17
mdwd,17
mck,17
bsx,17
enlv,17
canf,16
ocul,16
mrkr,16
utmd,16
kprx,16
ppcb,16
trib,15
asmb,15
tara,15
clsd,15
crdf,15
cyh,14
nvax,14
mtnb,14
ingn,14
wve,14
gctk,13
orka,13
akba,13
regn,13
lfwd,12
xxii,12
fbio,12
dxr,11
phg,10
lfmd,10
avns,9
veru,9
cnmd,9
clpt,9
cycc,9
osur,9
bmy,9
cphi,9
ensc,9
vtgn,8
imux,8
inm,8
agen,8
iova,8
coo,8
pulm,7
apt,7
avxl,7
lake,7
wst,7
kod,7
iccc,7
naii,7
bctx,7
prgo,7
xbio,7
gern,6
bkd,6
ccel,6
bntc,6
abeo,6
ftlf,6
hind,6
adma,6
tgtx,6
stxs,5
rckt,5
tech,5
vmd,5
sem,5
atnm,5
vtak,5
kzia,5
ibio,5
hura,5
ibrx,5
bhc,5
nus,5
cort,5
scnx,5
prph,5
cyccp,5
sls,4
qlgn,4
amrn,4
vstm,4
traw,4
sisi,4
rcel,4
nbix,4
pbyi,4
poai,4
mbrx,4
elmd,4
evok,4
irix,4
erna,4
ethz,4
hlf,4
gtbp,4
zyme,4
xcur,4
xair,4
achv,4
mdgl,3
edsa,3
slrx,3
gnft,3
hypd,3
hcsg,3
neo,3
nby,3
mrsn,3
nvno,3
cvm,3
crsp,3
atrc,3
athe,3
mdxg,3
krmd,3
cmmb,3
opk,3
bcrx,3
pstv,3
usph,2
alc,2
lmat,2
lixtw,2
plur,2
urgn,2
eldn,2
rvp,2
aytu,2
axgn,2
inmb,2
ino,2
indp,2
imdx,2
aray,2
sxtc,2
stim,2
asnd,2
itgr,2
qdel,2
csbr,2
bmra,2
bysi,2
nrc,2
mtex,2
podd,2
amph,2
gh,2
agio,2
adus,2
achc,2
amrx,2
vivs,2
vrna,2
ebs,2
irtc,2
scph,2
ctso,2
cing,2
mlss,2
rgen,2
rntx,2
lqda,2
enov,2
masi,2
sonn,2
usna,1
aktx,1
albt,1
rvph,1
legn,1
meip,1
rgnx,1
elvn,1
bblg,1
fenc,1
flgt,1
avdl,1
ipha,1
insm,1
klrs,1
bcda,1
tivc,1
gmab,1
tpst,1
icu,1
svra,1
anik,1
aort,1
apvo,1
thc,1
gsk,1
entx,1
srdx,1
immp,1
imtx,1
eye,1
igc,1
smti,1
scni,1
rytm,1
pfe,1
celu,1
pbh,1
pavm,1
pali,1
ctxr,1
cytk,1
dnli,1
mgnx,1
rdnt,1
qnrx,1
livn,1
ento,1
bti,1
btai,1
phio,1
ndra,1
vygr,1
crvo,1
nspr,1
nvo,1
celc,1
cnc,1
cosm,1
mtva,1
valn,1
vktx,1
vrdn,1
vrca,1
vtrs,1
whwk,1
adpt,1
acrs,1
acon,0
adxn,0
ahco,0
aim,0
xoma,0
ymab,0
fonr,0
gkos,0
glsi,0
ams,0
anab,0
aneb,0
ango,0
vcyt,0
vvos,0
neue,0
nktx,0
nmtc,0
nrxp,0
ntla,0
ntra,0
oabi,0
caba,0
carm,0
drts,0
mrvi,0
nbtx,0
neog,0
neph,0
codx,0
crdl,0
clrb,0
ogen,0
okur,0
okyo,0
om,0
omer,0
omi,0
ormp,0
ovid,0
mgtx,0
mhua,0
mnmd,0
mnov,0
mo,0
modd,0
cybn,0
drrx,0
pen,0
pgen,0
pgny,0
phat,0
phge,0
pmn,0
beam,0
bgm,0
bmea,0
brtx,0
bway,0
ppbt,0
prks,0
prok,0
psnl,0
ptct,0
qttb,0
rare,0
renb,0
revb,0
ensg,0
lnth,0
lpcn,0
lxrx,0
lyra,0
mcrb,0
medp,0
kros,0
krro,0
lfcr,0
lgnd,0
dtil,0
ecor,0
edit,0
ehab,0
embc,0
rnac,0
rnaz,0
atec,0
avah,0
axsm,0
azn,0
fbiop,0
fbrx,0
iobt,0
iva,0
kala,0
kids,0
knsa,0
sbfm,0
sclx,0
sera,0
sgry,0
smlr,0
snda,0
sndl,0
snoa,0
ifrx,0
ima,0
imab,0
imvt,0
incr,0
eols,0
esta,0
exas,0
fate,0
soph,0
srzn,0
stro,0
tak,0
anip,0
apm,0
apre,0
aqst,0
arct,0
arqt,0
artl,0
arvn,0
arwr,0
tcmd,0
tdoc,0
tecx,0
tenx,0
tlry,0
tlsi,0
tngx,0
tnon,0
gnpx,0
govx,0
grfs,0
gri,0
hcm,0
hrtx,0
hscs,0
hsdt,0
hypr,0
idya,0
trup,0
trvi,0
ttnp,0
tvgn,0
tvtx,0
txmd,0
ufpt,0
akro,0
allo,0
zyxi,0
