,Outdegree
icui,14
hsdt,5
isrg,5
iclr,5
vivs,5
algn,4
eldn,3
cnsp,3
mbrx,3
evok,2
clrb,2
jazz,2
krro,2
nby,2
vvos,2
fbrx,1
ilmn,1
kala,1
bdx,1
imcc,1
cing,1
ibio,1
lly,1
masi,1
mcrb,1
mrsn,1
podd,1
rmd,1
snoa,1
sonn,1
tenx,1
tfx,1
vktx,0
vmd,0
vnrx,0
aplt,0
apm,0
apre,0
apt,0
apyx,0
aray,0
arwr,0
asrt,0
athe,0
atos,0
atrc,0
autl,0
avah,0
avdl,0
avxl,0
axsm,0
aytu,0
bax,0
bcrx,0
bhc,0
blrx,0
bmra,0
bmy,0
bntc,0
bsx,0
bway,0
caba,0
cadl,0
cah,0
canf,0
carm,0
casi,0
celu,0
cgen,0
chek,0
cldx,0
clpt,0
clsd,0
cnc,0
cocp,0
codx,0
coep,0
cort,0
cosm,0
cphi,0
cpix,0
crbp,0
crdf,0
crdl,0
cris,0
cron,0
crvo,0
ctso,0
cvm,0
cyccp,0
cyh,0
cyrx,0
dgx,0
dmac,0
dxcm,0
dyai,0
ebs,0
edsa,0
ehc,0
elan,0
elmd,0
elvn,0
eq,0
erna,0
espr,0
eton,0
ew,0
exas,0
eye,0
fbio,0
fenc,0
fms,0
fonr,0
fulc,0
gctk,0
gern,0
glpg,0
gnpx,0
gri,0
gsk,0
gtbp,0
gyre,0
hae,0
halo,0
hcm,0
hlf,0
hoth,0
hrtx,0
hum,0
hura,0
iart,0
iccc,0
icu,0
ima,0
imdx,0
imtx,0
imux,0
indp,0
infu,0
ino,0
insm,0
iova,0
irix,0
itgr,0
iva,0
kalv,0
kprx,0
kpti,0
krmd,0
achv,0
lake,0
lctx,0
legn,0
lfcr,0
tovx,0
lmat,0
lptx,0
lqda,0
lrmr,0
lsta,0
aort,0
abeo,0
mck,0
traw,0
mdgl,0
meso,0
mnkd,0
mrk,0
mrkr,0
trib,0
mtex,0
mtnb,0
myo,0
trml,0
ndra,0
neph,0
nerv,0
nktr,0
nnvc,0
notv,0
nrxp,0
ntra,0
nus,0
nvax,0
nvo,0
oabi,0
obio,0
ocul,0
ogn,0
olma,0
omer,0
omi,0
opch,0
opk,0
ormp,0
osur,0
pbh,0
pcsa,0
phg,0
pmcb,0
trup,0
prgo,0
prph,0
pstv,0
ptct,0
qipt,0
qlgn,0
qncx,0
rdhl,0
rdnt,0
rdy,0
revb,0
rgen,0
rigl,0
rlx,0
tvgn,0
rnaz,0
rntx,0
rvp,0
rzlt,0
sclx,0
scni,0
scyx,0
sem,0
sera,0
sgmo,0
siga,0
sint,0
sldb,0
slno,0
slrx,0
sls,0
smti,0
snda,0
sngx,0
tvtx,0
txmd,0
srdx,0
srts,0
srzn,0
sttk,0
stxs,0
sxtc,0
tara,0
tcmd,0
tcrt,0
tech,0
tecx,0
ufpt,0
teva,0
urgn,0
thc,0
thtx,0
tlph,0
tlsa,0
tlsi,0
tlsiw,0
tngx,0
tnxp,0
vrdn,0
vstm,0
vtgn,0
vtrs,0
usna,0
vygr,0
vyne,0
wst,0
xair,0
xbit,0
xgn,0
xoma,0
xtnt,0
zlab,0
zyme,0
zyxi,0
aciu,0
adpt,0
agen,0
ahco,0
aim,0
aimd,0
akba,0
aktx,0
vcel,0
alks,0
alxo,0
amph,0
ams,0
aneb,0
anik,0
abus,0
