event_id,recalling_firm_name,Symbol_original,Symbol_audit
62293,alere san diego,ABT,ALR
61927,alere san diego,ABT,ALR
61927,alere san diego,ABT,ALR
63175,alere san diego,ABT,ALR
63091,alere san diego,ABT,ALR
64701,alere san diego,ABT,ALR
66870,alere san diego,ABT,ALR
69964,alere san diego,ABT,ALR
64671,alere san diego,ABT,ALR
61927,alere san diego,ABT,ALR
74665,alere san diego,ABT,ALR
74665,alere san diego,ABT,ALR
74665,alere san diego,ABT,ALR
68038,alere san diego,ABT,ALR
75443,alere san diego,ABT,ALR
67529,alere san diego,ABT,ALR
68230,alere san diego,ABT,ALR
69964,alere san diego,ABT,ALR
74665,alere san diego,ABT,ALR
69964,alere san diego,ABT,ALR
61927,alere san diego,ABT,ALR
67910,alere san diego,ABT,ALR
74665,alere san diego,ABT,ALR
74665,alere san diego,ABT,ALR
74665,alere san diego,ABT,ALR
74665,alere san diego,ABT,ALR
74665,alere san diego,ABT,ALR
61927,alere san diego,ABT,ALR
65048,alere san diego,ABT,ALR
71585,alere scarborough dba binax,ABT,ALR
71059,alere scarborough dba binax,ABT,ALR
69796,american medical systems,BSX,ENDP
64875,american medical systems,BSX,ENDP
69796,american medical systems,BSX,ENDP
69536,american medical systems,BSX,ENDP
64875,american medical systems,BSX,ENDP
63540,american medical systems,BSX,ENDP
69683,bard access systems,BDX,BCR
77132,bard access systems,BDX,BCR
75908,bard access systems,BDX,BCR
70834,bard access systems,BDX,BCR
70430,bard access systems,BDX,BCR
70430,bard access systems,BDX,BCR
67567,bard access systems,BDX,BCR
66991,bard access systems,BDX,BCR
66991,bard access systems,BDX,BCR
70430,bard access systems,BDX,BCR
70430,bard access systems,BDX,BCR
70430,bard access systems,BDX,BCR
70822,bard access systems,BDX,BCR
65202,bard access systems,BDX,BCR
71757,bard access systems,BDX,BCR
76008,bard access systems,BDX,BCR
76008,bard access systems,BDX,BCR
64425,bard access systems,BDX,BCR
64425,bard access systems,BDX,BCR
75908,bard access systems,BDX,BCR
75875,bard peripheral vascular,BDX,BCR
74663,bard peripheral vascular,BDX,BCR
69136,bard peripheral vascular,BDX,BCR
72459,bard peripheral vascular,BDX,BCR
66374,bard peripheral vascular,BDX,BCR
65046,bard peripheral vascular,BDX,BCR
70733,bard peripheral vascular,BDX,BCR
70839,bard peripheral vascular,BDX,BCR
64276,bard peripheral vascular,BDX,BCR
64276,bard peripheral vascular,BDX,BCR
65395,bard peripheral vascular,BDX,BCR
73022,bard peripheral vascular,BDX,BCR
73022,bard peripheral vascular,BDX,BCR
78224,bard peripheral vascular,BDX,BCR
72945,bard peripheral vascular,BDX,BCR
73249,bard peripheral vascular,BDX,BCR
75875,bard peripheral vascular,BDX,BCR
64276,bard peripheral vascular,BDX,BCR
64276,bard peripheral vascular,BDX,BCR
70952,bard peripheral vascular,BDX,BCR
73365,bard peripheral vascular,BDX,BCR
76914,bard peripheral vascular,BDX,BCR
73365,bard peripheral vascular,BDX,BCR
75875,bard peripheral vascular,BDX,BCR
87148,baxalta us,BAX,TAK
68931,biomet,ZBH,
71253,biomet,ZBH,
68651,biomet,ZBH,
67142,biomet,ZBH,
69280,biomet,ZBH,
63612,biomet,ZBH,
63708,biomet,ZBH,
63613,biomet,ZBH,
69360,biomet,ZBH,
64679,biomet,ZBH,
62745,biomet,ZBH,
62391,biomet,ZBH,
65212,biomet,ZBH,
66639,biomet,ZBH,
69360,biomet,ZBH,
69360,biomet,ZBH,
63781,biomet,ZBH,
63725,biomet,ZBH,
69932,biomet,ZBH,
69932,biomet,ZBH,
63073,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
68310,biomet,ZBH,
68216,biomet,ZBH,
70667,biomet,ZBH,
70667,biomet,ZBH,
68216,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65209,biomet,ZBH,
66967,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
68144,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
69340,biomet,ZBH,
65459,biomet,ZBH,
70837,biomet,ZBH,
66792,biomet,ZBH,
68310,biomet,ZBH,
63850,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
66964,biomet,ZBH,
68216,biomet,ZBH,
64004,biomet,ZBH,
67618,biomet,ZBH,
63073,biomet,ZBH,
70438,biomet,ZBH,
70438,biomet,ZBH,
71255,biomet,ZBH,
65210,biomet,ZBH,
63612,biomet,ZBH,
64354,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
65459,biomet,ZBH,
68418,biomet,ZBH,
63711,biomet,ZBH,
67618,biomet,ZBH,
67618,biomet,ZBH,
70297,biomet,ZBH,
62578,biomet 3i,ZBH,
62375,biomet 3i,ZBH,
66204,biomet 3i,ZBH,
61376,biomet 3i,ZBH,
66204,biomet 3i,ZBH,
63618,biomet 3i,ZBH,
68915,biomet 3i,ZBH,
67609,biomet 3i,ZBH,
67183,biomet 3i,ZBH,
63313,biomet 3i,ZBH,
65005,biomet 3i,ZBH,
65005,biomet 3i,ZBH,
70628,biomet 3i,ZBH,
70628,biomet 3i,ZBH,
70628,biomet 3i,ZBH,
63618,biomet 3i,ZBH,
67183,biomet 3i,ZBH,
66787,biomet 3i,ZBH,
67183,biomet 3i,ZBH,
67183,biomet 3i,ZBH,
67183,biomet 3i,ZBH,
67547,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
69644,biomet microfixation,ZBH,
53991,carefusion,BDX,CFN
62349,carefusion 203,BDX,CFN
69020,carefusion 203,BDX,CFN
62971,carefusion 213,BDX,CFN
62900,carefusion 213,BDX,CFN
64583,carefusion 213,BDX,CFN
64583,carefusion 213,BDX,CFN
64583,carefusion 213,BDX,CFN
68566,carefusion 213,BDX,CFN
64583,carefusion 213,BDX,CFN
64583,carefusion 213,BDX,CFN
64583,carefusion 213,BDX,CFN
68176,carefusion 2200,BDX,CFN
68176,carefusion 2200,BDX,CFN
61943,carefusion 2200,BDX,CFN
66123,carefusion 2200,BDX,CFN
61943,carefusion 2200,BDX,CFN
68955,carefusion 2200,BDX,CFN
61943,carefusion 2200,BDX,CFN
64971,carefusion 2200,BDX,CFN
62007,carefusion 303,BDX,CFN
55121,carefusion 303,BDX,CFN
67774,carefusion 303,BDX,CFN
68066,carefusion 303,BDX,CFN
65564,carefusion 303,BDX,CFN
68608,carefusion 303,BDX,CFN
66865,carefusion 303,BDX,CFN
67346,carefusion 303,BDX,CFN
67326,carefusion 303,BDX,CFN
70260,carefusion 303,BDX,CFN
66150,carefusion 303,BDX,CFN
66758,carefusion 303,BDX,CFN
66759,carefusion 303,BDX,CFN
62642,carefusion 303,BDX,CFN
66152,carefusion 303,BDX,CFN
66151,carefusion 303,BDX,CFN
64204,carefusion manufacturing,BDX,CFN
64728,carefusion manufacturing,BDX,CFN
64653,carefusion manufacturing,BDX,CFN
74803,cepheid,DHR,CPHD
83502,codman shurtleff,JNJ,IART
90710,cook,COOK,
90793,cook,COOK,
90793,cook,COOK,
90793,cook,COOK,
90793,cook,COOK,
90793,cook,COOK,
90793,cook,COOK,
90393,cook,COOK,
90793,cook,COOK,
90793,cook,COOK,
90710,cook,COOK,
90710,cook,COOK,
90710,cook,COOK,
90710,cook,COOK,
64975,cook,COOK,
90793,cook,COOK,
90710,cook,COOK,
79195,cook,COOK,
79195,cook,COOK,
84125,cook,COOK,
73083,cook,COOK,
79789,cook,COOK,
79789,cook,COOK,
79789,cook,COOK,
84125,cook,COOK,
84125,cook,COOK,
79789,cook,COOK,
64975,cook,COOK,
79711,cook,COOK,
79789,cook,COOK,
79789,cook,COOK,
84125,cook,COOK,
84125,cook,COOK,
84125,cook,COOK,
84125,cook,COOK,
